Substation,MAE,MSE,RMSE,Accuracy,Precision
AJAHUEL,43.52734131034529,2663.715235957006,51.6111929328998,1.0,0.0
BUIN,0.1736149747590129,0.03480885046616523,0.18657130129300495,0.7916666666666666,0.7916666666666666
CHENA,38.642855013148754,2159.1539991774507,46.466697743410286,1.0,0.0
CNAVIA,70.74578204920657,6254.177322701281,79.08335679965337,1.0,0.0
ELSALTO,59.01689394780946,3919.8062155754437,62.60835579677399,0.8333333333333334,0.0
FLORIDA,2.7437639715845457,12.406243762031144,3.5222498153923074,1.0,0.0
LOSALME,43.88011094027858,2201.0729014492094,46.91559337202514,1.0,0.0
